代码,名称,买入日,买入价,卖出日,卖出价,股数,盈亏,净收益率,持有交易日,卖出原因
688368,晶丰明源,2022-01-17,127.199,2022-01-26,117.441,3900,-38530.59,-7.7632%,7,止损
002008,大族激光,2022-01-18,47.304,2022-02-09,45.377,10500,-20713.14,-4.1682%,11,到期
688063,派能科技,2022-01-18,107.537,2022-01-28,100.94,4600,-30826.78,-6.2287%,8,止损
688188,柏楚电子,2022-01-19,85.152,2022-01-28,79.595,5800,-32704.72,-6.6187%,7,止损
002088,鲁阳节能,2022-01-24,17.309,2022-01-26,16.422,28800,-26027.43,-5.2187%,2,止损
002985,北摩高科,2022-01-25,70.408,2022-01-28,67.055,7100,-24292.39,-4.8570%,3,止损
300441,鲍斯股份,2022-01-25,8.851,2022-01-28,8.443,56400,-23535.39,-4.7121%,3,止损
688131,皓元医药,2022-01-25,69.099,2022-02-07,65.383,7200,-27233.86,-5.4713%,4,止损
000035,中国天楹,2022-01-27,5.155,2022-02-10,5.769,97000,59080.39,11.8103%,5,止盈
000503,国新健康,2022-01-27,11.736,2022-02-07,11.324,42600,-18022.36,-3.6030%,2,止损
000557,西部创业,2022-01-27,4.422,2022-02-15,4.708,113000,31738.32,6.3482%,8,止盈
600737,中粮糖业,2022-01-27,6.233,2022-02-18,6.267,80200,2205.5,0.4410%,11,到期
603160,汇顶科技,2022-01-27,90.345,2022-02-18,90.275,5500,-883.41,-0.1777%,11,到期
603766,隆鑫通用,2022-01-27,3.492,2022-02-09,3.788,143100,41888.24,8.3790%,4,止盈
603970,中农立华,2022-01-27,15.831,2022-02-18,16.808,31500,30251.38,6.0633%,11,到期
605016,百龙创园,2022-01-27,7.206,2022-02-18,7.43,69300,15063.33,3.0151%,11,到期
000650,仁和药业,2022-02-07,6.703,2022-02-22,6.997,74500,21329.36,4.2689%,11,到期
002675,东诚药业,2022-02-07,13.152,2022-02-10,14.328,38000,44175.77,8.8350%,3,止盈
300143,盈康生命,2022-02-07,9.029,2022-02-22,9.335,46700,13899.6,3.2950%,11,到期
300326,ST凯利,2022-02-07,9.015,2022-02-22,9.205,55400,10070.61,2.0155%,11,到期
600185,珠免集团,2022-02-07,6.043,2022-02-22,6.287,82700,19655.31,3.9310%,11,到期
600351,亚宝药业,2022-02-07,5.873,2022-02-22,6.097,85100,18554.36,3.7106%,11,到期
600479,千金药业,2022-02-07,8.384,2022-02-10,9.715,59600,78785.26,15.7587%,3,止盈
601608,中信重工,2022-02-07,3.904,2022-02-22,3.99,128000,10509.57,2.1021%,11,到期
603818,曲美家居,2022-02-07,12.006,2022-02-09,11.434,41600,-24271.11,-4.8571%,2,止损
688626,翔宇医疗,2022-02-07,43.498,2022-02-14,39.976,11400,-40623.59,-8.1882%,5,止损
002013,中航机电,2022-02-09,11.817,2022-02-24,12.275,42300,18861.91,3.7716%,11,到期
300212,ST易录,2022-02-09,26.483,2022-02-22,29.665,18700,58977.01,11.9029%,9,止盈
300413,芒果超媒,2022-02-09,33.617,2022-02-16,36.742,14800,45726.68,9.1862%,5,止盈
