序号,代码,名称,买入日,买入价,卖出日,卖出价,净收益率,毛收益率,持有交易日,卖出原因
7864,300693,盛弘股份,2021-08-18,31.374,2021-08-30,25.172,-19.8461%,-19.7658%,8,止损
7865,300695,兆丰股份,2026-07-09,56.018,2026-07-14,51.564,-8.0427%,-7.9506%,3,止损
7866,300697,电工合金,2023-12-01,9.068,2023-12-18,9.197,1.3308%,1.4322%,11,到期
7867,300697,电工合金,2025-03-31,11.815,2025-04-08,9.543,-19.3080%,-19.2272%,5,止损
7868,300698,万马科技,2021-09-06,19.66,2021-09-15,22.829,16.0018%,16.1179%,7,止盈
7869,300698,万马科技,2025-07-01,46.203,2025-07-07,43.188,-6.6183%,-6.5249%,4,止损
7870,300700,岱勒新材,2022-02-14,8.698,2022-03-01,9.059,4.0475%,4.1516%,11,到期
7871,300700,岱勒新材,2024-10-14,7.054,2024-10-28,7.726,9.4263%,9.5358%,10,止盈
7872,300701,森霸传感,2024-12-16,11.216,2024-12-18,10.575,-5.8086%,-5.7143%,2,止损
7873,300702,天宇股份,2021-11-17,49.245,2021-11-30,44.378,-9.9730%,-9.8829%,9,止损
7874,300702,天宇股份,2023-05-09,26.813,2023-05-24,26.237,-2.2480%,-2.1501%,11,到期
7875,300703,创源股份,2024-12-19,15.36,2024-12-23,16.234,5.5859%,5.6915%,2,止盈
7876,300703,创源股份,2025-04-22,14.279,2025-05-07,16.344,14.3450%,14.4595%,8,止盈
7877,300703,创源股份,2025-05-26,16.97,2025-05-28,19.932,17.3338%,17.4512%,2,止盈
7878,300706,阿石创,2024-10-14,23.011,2024-10-22,25.187,9.3463%,9.4557%,6,止盈
7879,300707,威唐工业,2021-12-17,19.842,2021-12-23,18.723,-5.7353%,-5.6410%,4,止损
7880,300707,威唐工业,2022-07-01,16.66,2022-07-13,15.684,-5.9534%,-5.8593%,8,止损
7881,300708,聚灿光电,2024-10-15,7.597,2024-10-22,8.296,9.0928%,9.2020%,5,止盈
7882,300710,万隆光电,2024-03-08,17.409,2024-03-25,17.911,2.7827%,2.8856%,11,到期
7883,300710,万隆光电,2024-08-05,15.578,2024-08-20,15.792,1.2744%,1.3758%,11,到期
7884,300710,万隆光电,2025-12-25,30.785,2026-01-13,33.783,9.6278%,9.7375%,11,止盈
7885,300711,广哈通信,2024-10-14,19.41,2024-10-22,22.479,15.6962%,15.8120%,6,止盈
7886,300711,广哈通信,2026-01-19,27.234,2026-02-03,26.487,-2.8397%,-2.7424%,11,到期
7887,300712,永福股份,2021-11-01,68.429,2021-11-08,62.474,-8.7944%,-8.7031%,5,止损
7888,300712,永福股份,2024-11-19,26.815,2024-12-04,27.788,3.5238%,3.6274%,11,到期
7889,300713,英可瑞,2021-12-24,22.411,2021-12-28,21.129,-5.8136%,-5.7193%,2,止损
7890,300713,英可瑞,2023-02-13,16.338,2023-02-16,17.641,7.8673%,7.9753%,3,止盈
7891,300713,英可瑞,2023-10-16,20.11,2023-10-19,18.531,-7.9455%,-7.8534%,3,止损
7892,300713,英可瑞,2024-03-08,13.787,2024-03-25,14.613,5.8838%,5.9897%,11,到期
7893,300713,英可瑞,2024-06-21,12.306,2024-06-26,11.174,-9.2873%,-9.1965%,3,止损
7894,300713,英可瑞,2025-03-25,17.349,2025-03-31,15.882,-8.5453%,-8.4538%,4,止损
7895,300715,凯伦股份,2025-01-16,8.454,2025-02-10,8.266,-2.3257%,-2.2280%,11,到期
7896,300716,ST泉为,2021-09-27,10.565,2021-09-29,9.725,-8.0440%,-7.9519%,2,止损
7897,300716,ST泉为,2023-02-20,21.221,2023-03-06,19.29,-9.1870%,-9.0961%,10,止损
7898,300716,ST泉为,2024-06-28,7.304,2024-07-02,9.065,23.9983%,24.1224%,2,止盈
7899,300716,ST泉为,2024-07-08,7.684,2024-07-19,7.156,-6.9571%,-6.8640%,9,止损
7900,300717,华信新材,2021-09-24,16.708,2021-09-29,15.192,-9.1639%,-9.0730%,3,止损
7901,300718,长盛轴承,2024-08-27,12.099,2024-09-11,12.617,4.1741%,4.2784%,11,到期
7902,300718,长盛轴承,2025-07-28,92.67,2025-08-04,86.111,-7.1711%,-7.0782%,5,止损
7903,300718,长盛轴承,2026-07-09,62.371,2026-07-20,55.582,-10.9739%,-10.8848%,7,止损
7904,300719,安达维尔,2021-08-26,16.698,2021-09-02,14.973,-10.4250%,-10.3354%,5,止损
7905,300719,安达维尔,2022-03-29,11.386,2022-04-11,10.515,-7.7418%,-7.6495%,7,止损
7906,300719,安达维尔,2024-05-14,20.49,2024-05-20,23.748,15.7838%,15.8997%,4,止盈
7907,300719,安达维尔,2024-10-14,20.17,2024-10-16,21.349,5.7407%,5.8465%,2,止盈
