日期,权益
2022-04-13,9413222.83
2022-04-14,9418372.21
2022-04-15,9418372.21
2022-04-18,9418372.21
2022-04-19,9418372.21
2022-04-20,9418372.21
2022-04-21,9404464.34
2022-04-22,9392313.34
2022-04-25,9378026.10
2022-04-26,9340359.70
2022-04-27,9322252.70
2022-04-28,9314192.43
2022-04-29,9314192.43
2022-05-05,9314192.43
2022-05-06,9314192.43
2022-05-09,9312958.37
2022-05-10,9336453.37
2022-05-11,9337822.37
2022-05-12,9347701.37
2022-05-13,9342151.37
2022-05-16,9337711.37
2022-05-17,9342558.37
2022-05-18,9337267.37
2022-05-19,9337008.37
2022-05-20,9349921.37
2022-05-23,9339191.37
2022-05-24,9341370.38
2022-05-25,9341370.38
2022-05-26,9341370.38
2022-05-27,9341370.38
2022-05-30,9341370.38
2022-05-31,9341370.38
2022-06-01,9341370.38
2022-06-02,9341370.38
2022-06-06,9341370.38
2022-06-07,9340499.03
2022-06-08,9322348.66
2022-06-09,9276419.18
2022-06-10,9427780.71
2022-06-13,9414867.18
2022-06-14,9606109.12
2022-06-15,9481735.11
2022-06-16,9476368.43
2022-06-17,9460734.39
2022-06-20,9459180.33
2022-06-21,9374662.05
2022-06-22,9243241.03
2022-06-23,9393088.48
2022-06-24,9366307.83
2022-06-27,9360490.68
2022-06-28,9433524.11
2022-06-29,9233934.10
2022-06-30,9280747.14
2022-07-01,9253912.52
2022-07-04,9285651.63
2022-07-05,9203635.94
2022-07-06,9150115.49
2022-07-07,9216281.66
2022-07-08,9265228.75
2022-07-11,9383310.52
2022-07-12,9198028.55
2022-07-13,9228364.48
2022-07-14,9207354.61
2022-07-15,9081709.88
2022-07-18,9312204.43
2022-07-19,9344337.12
2022-07-20,9488830.39
2022-07-21,9341347.27
2022-07-22,9416830.92
2022-07-25,9193492.02
2022-07-26,9384420.46
2022-07-27,9551905.44
2022-07-28,9751423.84
2022-07-29,9592622.54
2022-08-01,9505395.54
2022-08-02,9244038.27
2022-08-03,9282240.49
2022-08-04,9463216.01
2022-08-05,9496192.88
2022-08-08,9645315.55
2022-08-09,9709862.55
2022-08-10,9794262.60
2022-08-11,9859656.07
2022-08-12,9635320.38
2022-08-15,9522271.09
2022-08-16,9628113.59
2022-08-17,9582850.73
2022-08-18,9556398.07
2022-08-19,9351004.45
2022-08-22,9314898.83
2022-08-23,9378999.29
2022-08-24,9125169.38
2022-08-25,9012452.84
2022-08-26,8875890.40
2022-08-29,8950373.64
2022-08-30,9014545.56
2022-08-31,8894922.69
2022-09-01,8927183.00
2022-09-02,8840276.52
2022-09-05,9046077.14
2022-09-06,8982089.35
2022-09-07,8967220.79
2022-09-08,8772515.60
2022-09-09,8727011.92
2022-09-13,8679731.45
2022-09-14,8673524.38
2022-09-15,8763581.05
2022-09-16,8459398.20
2022-09-19,8339571.77
2022-09-20,8372581.54
2022-09-21,8335254.67
2022-09-22,8303761.48
2022-09-23,8195933.24
2022-09-26,8185719.05
2022-09-27,8254045.46
2022-09-28,8298812.36
2022-09-29,8334740.36
2022-09-30,8325321.71
2022-10-10,8253923.67
2022-10-11,8210633.67
2022-10-12,8162663.67
2022-10-13,8149191.27
2022-10-14,8149191.27
2022-10-17,8149191.27
2022-10-18,8149191.27
2022-10-19,8149191.27
2022-10-20,8197712.27
2022-10-21,8193594.41
2022-10-24,8125857.41
2022-10-25,8028354.61
2022-10-26,8097983.13
2022-10-27,8072576.13
2022-10-28,8095592.89
2022-10-31,8091631.54
2022-11-01,8148549.05
2022-11-02,8150428.25
2022-11-03,8147208.73
2022-11-04,8147439.73
2022-11-07,8196611.40
2022-11-08,8244472.64
2022-11-09,8284998.79
2022-11-10,8268565.45
2022-11-11,8268837.26
2022-11-14,8338142.94
2022-11-15,8387076.79
2022-11-16,8395338.97
2022-11-17,8445877.00
2022-11-18,8300408.32
2022-11-21,8276573.39
2022-11-22,8214651.05
2022-11-23,8107111.06
2022-11-24,8134424.99
2022-11-25,8023912.70
2022-11-28,7978689.44
2022-11-29,8044568.87
2022-11-30,8043959.28
2022-12-01,8086469.20
2022-12-02,8142226.68
2022-12-05,8303583.98
2022-12-06,8218160.98
2022-12-07,8241337.37
2022-12-08,8119406.96
2022-12-09,8163982.58
2022-12-12,8081608.80
2022-12-13,8164654.18
2022-12-14,8318339.15
2022-12-15,8009929.81
2022-12-16,8000812.28
2022-12-19,7757848.12
2022-12-20,7538487.98
2022-12-21,7612913.83
2022-12-22,7493893.82
2022-12-23,7440490.10
2022-12-26,7394700.64
2022-12-27,7403417.64
2022-12-28,7357830.05
2022-12-29,7333686.12
2022-12-30,7348499.23
2023-01-03,7356041.23
2023-01-04,7365461.54
2023-01-05,7333721.99
2023-01-06,7309806.18
2023-01-09,7308630.88
2023-01-10,7293611.88
2023-01-11,7293792.95
2023-01-12,7303516.26
2023-01-13,7275977.72
2023-01-16,7328137.94
2023-01-17,7331253.78
2023-01-18,7473285.35
2023-01-19,7342989.73
2023-01-20,7377764.97
2023-01-30,7579447.47
2023-01-31,7635817.87
2023-02-01,7742689.37
2023-02-02,7711475.37
2023-02-03,7756952.37
2023-02-06,7793056.45
2023-02-07,7996285.73
2023-02-08,7957438.73
2023-02-09,8061310.30
2023-02-10,8037912.30
2023-02-13,8125861.36
2023-02-14,8119699.76
2023-02-15,8332426.65
2023-02-16,8018483.55
2023-02-17,7969933.89
2023-02-20,8142300.58
2023-02-21,8094717.36
2023-02-22,8082242.02
2023-02-23,7965773.18
2023-02-24,7856562.64
2023-02-27,7795115.30
2023-02-28,7848759.44
2023-03-01,7889222.09
2023-03-02,7805161.62
2023-03-03,7814292.20
2023-03-06,7808792.57
