日期,权益
2022-04-13,8532918.17
2022-04-14,8503360.47
2022-04-15,8411499.74
2022-04-18,8774559.97
2022-04-19,8696803.79
2022-04-20,8480875.11
2022-04-21,8189994.29
2022-04-22,8168436.21
2022-04-25,7897638.01
2022-04-26,7890856.67
2022-04-27,7985870.96
2022-04-28,7912641.41
2022-04-29,8321360.75
2022-05-05,8413901.43
2022-05-06,8348899.18
2022-05-09,8467134.24
2022-05-10,8647624.18
2022-05-11,8761674.88
2022-05-12,8784590.02
2022-05-13,8798455.02
2022-05-16,8839306.02
2022-05-17,8819438.14
2022-05-18,8842619.86
2022-05-19,8842619.86
2022-05-20,8842619.86
2022-05-23,8842619.86
2022-05-24,8842619.86
2022-05-25,8842619.86
2022-05-26,8842619.86
2022-05-27,8842619.86
2022-05-30,8887661.03
2022-05-31,8941119.17
2022-06-01,8941119.17
2022-06-02,8941119.17
2022-06-06,8941119.17
2022-06-07,8946765.46
2022-06-08,8923937.46
2022-06-09,8904621.46
2022-06-10,8902403.75
2022-06-13,8902403.75
2022-06-14,8902403.75
2022-06-15,8902403.75
2022-06-16,8902403.75
2022-06-17,8902403.75
2022-06-20,8902403.75
2022-06-21,8902403.75
2022-06-22,8902403.75
2022-06-23,8902403.75
2022-06-24,8902403.75
2022-06-27,8902403.75
2022-06-28,8902403.75
2022-06-29,8902403.75
2022-06-30,8902403.75
2022-07-01,8949405.75
2022-07-04,8886126.25
2022-07-05,8888153.35
2022-07-06,8939125.72
2022-07-07,8917277.43
2022-07-08,8968758.25
2022-07-11,8969252.05
2022-07-12,8828194.88
2022-07-13,8868075.22
2022-07-14,8974402.62
2022-07-15,8779960.44
2022-07-18,8959491.56
2022-07-19,9050594.73
2022-07-20,9117627.93
2022-07-21,9067346.83
2022-07-22,9005437.40
2022-07-25,8948999.80
2022-07-26,9041755.45
2022-07-27,9014558.65
2022-07-28,9028193.15
2022-07-29,8922938.90
2022-08-01,8905720.60
2022-08-02,8806500.70
2022-08-03,8735484.33
2022-08-04,8803579.01
2022-08-05,8850723.90
2022-08-08,8876192.53
2022-08-09,8868965.73
2022-08-10,8937808.21
2022-08-11,9063568.64
2022-08-12,9112897.68
2022-08-15,9106232.68
2022-08-16,9094895.23
2022-08-17,9132887.74
2022-08-18,9110159.96
2022-08-19,9087309.06
2022-08-22,9125477.82
2022-08-23,9111741.70
2022-08-24,9048645.63
2022-08-25,9020398.92
2022-08-26,8999272.88
2022-08-29,9018765.58
2022-08-30,9011698.69
2022-08-31,8903004.09
2022-09-01,8825699.04
2022-09-02,8925975.44
2022-09-05,8907832.57
2022-09-06,9041269.26
2022-09-07,9081195.69
2022-09-08,8932186.98
2022-09-09,9041696.87
2022-09-13,9028909.95
2022-09-14,8897567.88
2022-09-15,8817112.34
