序号,代码,名称,买入日,买入价,卖出日,卖出价,净收益率,毛收益率,持有交易日,卖出原因
11879,688513,苑东生物,2023-11-20,37.696,2023-11-23,35.557,-5.7677%,-5.6734%,3,信号
11880,688513,苑东生物,2025-03-28,31.408,2025-04-29,32.426,3.1383%,3.2415%,21,信号
11881,688515,裕太微-U,2024-12-23,105.933,2025-01-03,95.462,-9.9744%,-9.8843%,8,止损
11882,688515,裕太微-U,2026-06-23,261.1,2026-07-02,226.107,-13.4889%,-13.4023%,7,止损
11883,688516,奥特维,2022-07-05,93.283,2022-07-26,99.301,6.3457%,6.4521%,15,信号
11884,688516,奥特维,2022-08-11,120.315,2022-09-01,123.074,2.1911%,2.2934%,15,信号
11885,688518,联赢激光,2022-08-10,39.42,2022-08-29,38.311,-2.9101%,-2.8130%,13,信号
11886,688518,联赢激光,2025-06-06,17.159,2025-07-10,19.91,15.9195%,16.0355%,24,信号
11887,688518,联赢激光,2025-07-22,22.311,2025-08-01,22.089,-1.0949%,-0.9959%,8,信号
11888,688519,南亚新材,2025-02-18,23.986,2025-03-07,29.579,23.1954%,23.3187%,13,信号
11889,688519,南亚新材,2025-03-11,35.612,2025-03-21,35.326,-0.9008%,-0.8016%,8,信号
11890,688519,南亚新材,2025-06-06,39.344,2025-06-23,37.735,-4.1843%,-4.0884%,11,信号
11891,688519,南亚新材,2025-07-29,47.833,2025-08-11,44.667,-6.7128%,-6.6194%,9,信号
11892,688519,南亚新材,2025-08-18,59.719,2025-09-04,65.446,9.4811%,9.5906%,13,信号
11893,688519,南亚新材,2026-02-11,94.736,2026-03-09,104.937,10.6562%,10.7669%,12,信号
11894,688519,南亚新材,2026-03-16,128.853,2026-03-31,132.223,2.5124%,2.6150%,11,信号
11895,688520,神州细胞,2025-06-24,52.426,2025-07-17,75.162,43.2247%,43.3680%,17,信号
11896,688521,芯原股份,2026-05-06,292.146,2026-05-11,271.864,-7.0355%,-6.9424%,3,止损
11897,688523,航天环宇,2025-10-27,24.112,2025-11-21,25.547,5.8462%,5.9521%,19,信号
11898,688523,航天环宇,2025-11-25,31.356,2025-12-17,39.77,26.7086%,26.8354%,16,信号
11899,688525,佰维存储,2024-06-04,53.823,2024-07-08,62.984,16.9047%,17.0217%,23,信号
11900,688525,佰维存储,2026-05-07,304.938,2026-05-22,308.632,1.1099%,1.2111%,11,信号
11901,688526,科前生物,2021-12-28,25.796,2022-01-19,26.4,2.2388%,2.3411%,15,信号
11902,688526,科前生物,2025-04-30,15.56,2025-05-27,15.924,2.2387%,2.3410%,16,信号
11903,688529,豪森智能,2022-08-11,38.986,2022-08-16,37.638,-3.5549%,-3.4584%,3,信号
11904,688529,豪森智能,2023-07-13,26.261,2023-07-20,26.035,-0.9603%,-0.8612%,5,信号
11905,688529,豪森智能,2024-12-03,19.02,2024-12-17,17.981,-5.5547%,-5.4602%,10,信号
11906,688529,豪森智能,2025-08-07,27.013,2025-08-11,22.329,-17.4246%,-17.3420%,2,止损
11907,688529,豪森智能,2026-02-10,21.291,2026-03-03,19.66,-7.7505%,-7.6582%,9,信号
11908,688530,欧莱新材,2026-06-12,68.034,2026-06-16,57.761,-15.1845%,-15.0996%,2,止损
11909,688533,上声电子,2023-06-14,49.415,2023-06-27,44.758,-9.5150%,-9.4245%,7,止损
11910,688533,上声电子,2026-02-05,33.467,2026-03-04,31.164,-6.9725%,-6.8794%,13,信号
11911,688538,和辉光电-U,2024-09-02,2.121,2024-09-09,2.039,-3.9659%,-3.8698%,5,信号
11912,688538,和辉光电-U,2025-08-11,2.671,2025-08-15,2.539,-5.0590%,-4.9640%,4,信号
11913,688538,和辉光电-U,2025-09-25,2.901,2025-10-15,2.799,-3.6412%,-3.5448%,8,信号
11914,688539,高华科技,2025-10-22,37.721,2025-11-04,35.984,-4.6999%,-4.6045%,9,信号
11915,688539,高华科技,2025-12-26,51.478,2026-01-15,47.718,-7.3960%,-7.3033%,12,信号
11916,688548,广钢气体,2025-02-20,10.752,2025-03-13,10.202,-5.2144%,-5.1196%,15,信号
11917,688549,中巨芯-U,2024-11-11,11.551,2024-11-14,10.54,-8.8443%,-8.7531%,3,止损
11918,688549,中巨芯-U,2025-08-08,8.134,2025-09-03,8.696,6.7972%,6.9041%,18,信号
11919,688549,中巨芯-U,2025-09-18,9.485,2025-10-15,9.705,2.2215%,2.3238%,13,信号
11920,688549,中巨芯-U,2025-10-27,11.776,2025-10-31,10.565,-10.3749%,-10.2852%,4,止损
11921,688550,瑞联新材,2024-01-02,28.69,2024-01-09,27.984,-2.5594%,-2.4619%,5,信号
11922,688550,瑞联新材,2025-02-19,33.117,2025-02-28,32.484,-2.0089%,-1.9108%,7,信号
11923,688550,瑞联新材,2025-07-07,44.692,2025-07-09,38.931,-12.9793%,-12.8922%,2,止损
11924,688550,瑞联新材,2025-09-22,48.324,2025-10-14,49.965,3.2921%,3.3955%,10,信号
11925,688551,科威尔,2023-04-26,48.599,2023-05-16,50.764,4.3490%,4.4534%,11,信号
11926,688551,科威尔,2023-06-28,51.478,2023-06-30,47.186,-8.4279%,-8.3363%,2,止损
11927,688552,航天南湖,2024-11-07,20.981,2024-11-13,20.261,-3.5311%,-3.4346%,4,信号
11928,688553,汇宇制药-W,2023-12-07,10.589,2023-12-19,9.787,-7.6679%,-7.5755%,8,止损
11929,688555,退市泽达,2021-12-21,28.314,2022-01-12,32.054,13.0951%,13.2083%,15,信号
11930,688555,退市泽达,2022-09-05,15.378,2022-09-07,13.893,-9.7448%,-9.6545%,2,止损
11931,688556,高测股份,2022-06-06,21.524,2022-06-22,22.376,3.8547%,3.9586%,12,信号
11932,688557,兰剑智能,2021-08-23,17.598,2021-08-30,15.509,-11.9564%,-11.8683%,5,止损
11933,688557,兰剑智能,2022-02-10,15.496,2022-02-16,14.818,-4.4720%,-4.3764%,4,信号
11934,688557,兰剑智能,2024-12-12,14.999,2024-12-16,14.39,-4.1607%,-4.0648%,2,信号
11935,688557,兰剑智能,2025-07-17,22.111,2025-08-01,22.033,-0.4527%,-0.3531%,11,信号
11936,688558,国盛智科,2021-08-24,52.589,2021-08-26,51.037,-3.0478%,-2.9508%,2,止损
11937,688558,国盛智科,2025-08-05,26.859,2025-08-21,28.372,5.5251%,5.6307%,12,信号
11938,688558,国盛智科,2025-08-26,29.371,2025-08-28,30.041,2.1799%,2.2822%,2,信号
11939,688559,海目星,2022-07-28,85.804,2022-08-29,83.659,-2.5970%,-2.4996%,22,信号
11940,688559,海目星,2024-11-11,46.523,2024-11-19,39.96,-14.1933%,-14.1074%,6,止损
11941,688559,海目星,2025-08-29,34.607,2025-09-23,41.179,18.8716%,18.9905%,17,信号
11942,688559,海目星,2025-09-25,45.183,2025-09-29,42.099,-6.9180%,-6.8248%,2,止损
11943,688560,明冠新材,2022-06-27,36.074,2022-07-05,33.469,-7.3134%,-7.2206%,6,止损
11944,688560,明冠新材,2025-09-08,16.208,2025-09-19,14.583,-10.1182%,-10.0283%,9,止损
11945,688560,明冠新材,2025-11-28,17.008,2025-12-05,14.693,-13.7022%,-13.6158%,5,止损
11946,688562,航天软件,2024-11-11,20.48,2024-11-15,18.681,-8.8781%,-8.7869%,4,止损
11947,688562,航天软件,2025-03-07,17.689,2025-03-18,17.641,-0.3692%,-0.2695%,7,信号
11948,688562,航天软件,2025-06-27,18.309,2025-07-10,17.801,-2.8721%,-2.7749%,9,信号
11949,688565,力源科技,2021-09-24,13.191,2021-09-28,12.15,-7.9816%,-7.8895%,2,止损
11950,688565,力源科技,2023-08-02,8.824,2023-08-07,8.336,-5.6311%,-5.5367%,3,信号
11951,688565,力源科技,2023-11-29,9.085,2023-12-04,8.846,-2.7278%,-2.6305%,3,信号
11952,688565,力源科技,2025-07-22,10.205,2025-07-30,10.295,0.7786%,0.8795%,6,信号
11953,688565,力源科技,2025-08-06,11.226,2025-08-15,10.755,-4.2915%,-4.1957%,7,信号
11954,688566,吉贝尔,2022-08-09,17.649,2022-08-22,17.331,-1.8971%,-1.7989%,9,信号
11955,688566,吉贝尔,2023-12-14,30.365,2023-12-25,27.506,-9.5057%,-9.4152%,7,止损
11956,688566,吉贝尔,2026-04-02,31.316,2026-04-21,30.965,-1.2201%,-1.1213%,12,信号
11957,688567,孚能科技,2025-06-25,14.447,2025-07-08,13.873,-4.0702%,-3.9742%,9,信号
