序号,代码,名称,买入日,买入价,卖出日,卖出价,净收益率,毛收益率,持有交易日,卖出原因
268,000698,ST沈化,2022-12-23,6.783,2022-12-27,5.787,-14.7724%,-14.6871%,2,信号
269,000701,厦门信达,2022-05-11,8.254,2022-05-13,6.897,-16.5308%,-16.4472%,2,信号
270,000701,厦门信达,2024-04-03,6.293,2024-04-09,5.687,-9.7197%,-9.6294%,2,信号
271,000702,正虹科技,2024-05-23,6.603,2024-05-28,6.797,2.8244%,2.9273%,3,信号
272,000710,贝瑞基因,2023-11-23,15.848,2023-11-27,12.764,-19.5424%,-19.4619%,2,信号
273,000710,贝瑞基因,2024-03-21,11.956,2024-03-25,10.405,-13.0611%,-12.9741%,2,信号
274,000711,ST京蓝,2022-01-26,3.702,2022-01-28,3.968,7.0829%,7.1901%,2,信号
275,000711,ST京蓝,2022-02-14,4.802,2022-02-16,4.348,-9.5561%,-9.4656%,2,信号
276,000712,锦龙股份,2024-10-09,15.548,2024-10-11,12.854,-17.4112%,-17.3285%,2,信号
277,000712,锦龙股份,2024-11-29,17.309,2024-12-03,16.592,-4.2380%,-4.1421%,2,信号
278,000715,中兴商业,2022-04-21,6.115,2022-04-26,6.886,12.4875%,12.6000%,3,信号
279,000715,中兴商业,2022-12-29,5.977,2023-01-04,5.532,-7.5337%,-7.4411%,3,信号
280,000715,中兴商业,2024-01-11,8.393,2024-01-15,7.431,-11.5491%,-11.4606%,2,信号
281,000716,黑芝麻,2022-06-06,4.062,2022-06-08,3.758,-7.5742%,-7.4817%,2,信号
282,000716,黑芝麻,2022-08-29,4.282,2022-08-31,3.958,-7.6615%,-7.5691%,2,信号
283,000716,黑芝麻,2022-12-15,6.553,2022-12-21,6.127,-6.5992%,-6.5058%,4,信号
284,000716,黑芝麻,2024-11-08,7.824,2024-11-12,6.317,-19.3431%,-19.2624%,2,信号
285,000716,黑芝麻,2024-12-03,8.854,2024-12-05,7.856,-11.3639%,-11.2752%,2,信号
286,000717,中南股份,2024-09-30,3.162,2024-10-09,2.859,-9.6745%,-9.5841%,2,信号
287,000717,中南股份,2024-12-10,4.032,2024-12-13,3.648,-9.6103%,-9.5198%,3,信号
288,000718,苏宁环球,2025-09-12,3.202,2025-09-16,3.368,5.1021%,5.2072%,2,信号
289,000720,新能泰山,2026-03-27,5.433,2026-03-31,4.598,-15.4547%,-15.3701%,2,信号
290,000720,新能泰山,2026-04-08,6.953,2026-04-10,5.797,-16.7135%,-16.6302%,2,信号
291,000721,西安饮食,2022-11-08,7.204,2022-11-14,10.175,41.1064%,41.2476%,4,信号
292,000721,西安饮食,2022-12-15,14.077,2022-12-20,15.992,13.4899%,13.6035%,3,信号
293,000721,西安饮食,2022-12-29,20.83,2023-01-03,16.282,-21.9143%,-21.8361%,2,信号
294,000722,湖南发展,2022-04-27,12.246,2022-05-09,17.581,43.4220%,43.5655%,5,信号
295,000722,湖南发展,2022-05-12,23.062,2022-05-16,23.278,0.8393%,0.9402%,2,信号
296,000722,湖南发展,2022-07-13,20.45,2022-07-15,17.381,-15.0917%,-15.0068%,2,信号
297,000722,湖南发展,2025-05-22,15.848,2025-05-26,12.494,-21.2435%,-21.1647%,2,信号
298,000722,湖南发展,2026-03-27,18.539,2026-03-31,15.412,-16.9499%,-16.8668%,2,信号
299,000728,国元证券,2024-10-09,9.315,2024-10-11,8.016,-14.0282%,-13.9422%,2,信号
300,000731,四川美丰,2021-09-23,13.177,2021-09-27,11.374,-13.7642%,-13.6779%,2,信号
301,000732,ST泰禾,2022-02-10,3.152,2022-02-15,2.909,-7.8036%,-7.7114%,3,信号
302,000736,中交发展,2022-03-30,12.806,2022-04-08,17.911,39.7202%,39.8601%,5,信号
303,000736,中交发展,2022-12-01,22.521,2022-12-05,20.03,-11.1508%,-11.0619%,2,信号
304,000750,国海证券,2024-09-27,4.32,2024-10-10,5.115,18.2902%,18.4086%,4,信号
305,000753,漳州发展,2021-12-21,3.897,2021-12-23,3.813,-2.2496%,-2.1518%,2,信号
306,000753,漳州发展,2022-05-24,5.288,2022-05-26,4.033,-23.8044%,-23.7282%,2,信号
307,000753,漳州发展,2024-11-29,4.962,2024-12-09,5.087,2.4159%,2.5184%,6,信号
308,000755,山西高速,2022-07-14,7.289,2022-07-18,7.411,1.5811%,1.6828%,2,信号
309,000755,山西高速,2022-09-14,6.608,2022-09-16,6.202,-6.2437%,-6.1499%,2,信号
310,000756,新华制药,2022-05-12,20.985,2022-05-17,25.562,21.6872%,21.8090%,3,信号
311,000756,新华制药,2022-12-12,34.642,2022-12-16,42.604,22.8587%,22.9816%,4,信号
312,000759,中百集团,2022-09-14,7.003,2022-09-16,6.287,-10.3224%,-10.2327%,2,信号
313,000759,中百集团,2024-12-16,8.734,2024-12-18,6.967,-20.3199%,-20.2402%,2,信号
314,000759,中百集团,2024-12-30,11.116,2025-01-06,11.894,6.8967%,7.0037%,4,信号
315,000759,中百集团,2025-04-11,9.405,2025-04-15,9.465,0.5434%,0.6440%,2,信号
316,000762,西藏矿业,2024-10-09,24.712,2024-10-11,22.679,-8.3212%,-8.2295%,2,信号
317,000766,通化金马,2023-09-14,10.705,2023-09-19,13.543,26.3825%,26.5089%,3,信号
318,000777,中核科技,2026-06-18,20.348,2026-06-23,18.679,-8.2965%,-8.2047%,2,信号
319,000779,甘咨询,2022-05-20,17.459,2022-05-24,13.103,-25.0212%,-24.9462%,2,信号
320,000782,恒申新材,2022-07-25,6.493,2022-07-27,5.417,-16.6538%,-16.5704%,2,信号
321,000783,长江证券,2024-10-08,7.494,2024-10-10,7.096,-5.3964%,-5.3017%,2,信号
322,000785,居然智家,2024-12-13,4.742,2024-12-18,4.328,-8.8323%,-8.7411%,3,信号
323,000785,居然智家,2025-02-13,4.982,2025-02-18,4.518,-9.4183%,-9.3277%,3,信号
324,000788,北大医药,2022-03-15,11.679,2022-03-18,12.867,10.0598%,10.1699%,3,信号
325,000791,甘肃能源,2021-09-07,5.233,2021-09-09,5.407,3.2350%,3.3383%,2,信号
326,000793,ST华闻,2024-06-14,1.404,2024-06-18,1.221,-13.0750%,-12.9880%,2,信号
327,000793,ST华闻,2024-10-25,2.311,2024-10-30,2.576,11.3355%,11.4469%,3,信号
328,000793,ST华闻,2024-11-11,3.123,2024-11-13,2.824,-9.6650%,-9.5746%,2,信号
