序号,代码,名称,买入日,买入价,卖出日,卖出价,净收益率,毛收益率,持有交易日,卖出原因
1899,601500,通用股份,2022-03-17,3.474,2022-04-01,3.529,1.4961%,1.5977%,11,到期
1900,601566,九牧王,2026-06-24,8.804,2026-06-26,8.206,-6.8910%,-6.7978%,2,止损
1901,601567,三星电气,2023-10-30,14.162,2023-11-14,14.628,3.1844%,3.2877%,11,到期
1902,601568,北元化工,2023-12-27,4.402,2024-01-12,4.548,3.2025%,3.3057%,11,到期
1903,601577,长沙银行,2022-11-01,4.822,2022-11-16,5.157,6.8400%,6.9469%,11,到期
1904,601577,长沙银行,2023-06-28,6.113,2023-07-13,6.117,-0.0365%,0.0636%,11,到期
1905,601595,上海电影,2023-10-25,17.971,2023-11-06,20.432,13.5795%,13.6932%,8,止盈
1906,601598,中国外运,2023-10-17,3.93,2023-10-31,3.67,-6.7041%,-6.6107%,10,止损
1907,601600,中国铝业,2023-05-23,4.979,2023-05-25,4.675,-6.2155%,-6.1217%,2,止损
1908,601601,中国太保,2026-03-06,38.029,2026-03-23,37.541,-1.3814%,-1.2827%,11,到期
1909,601601,中国太保,2026-05-26,32.026,2026-06-04,30.085,-6.1548%,-6.0609%,7,止损
1910,601606,长城军工,2026-07-01,27.39,2026-07-15,25.843,-5.7410%,-5.6467%,10,止损
1911,601607,上海医药,2025-01-14,19.1,2025-02-06,19.86,3.8779%,3.9819%,11,到期
1912,601608,中信重工,2022-02-07,3.904,2022-02-22,3.99,2.1021%,2.2043%,11,到期
1913,601615,明阳智能,2023-08-30,14.245,2023-09-14,14.751,3.4451%,3.5486%,11,到期
1914,601615,明阳智能,2026-06-12,12.179,2026-06-26,11.717,-3.8891%,-3.7930%,9,止损
1915,601618,中国中冶,2023-05-19,3.851,2023-05-26,3.637,-5.6449%,-5.5505%,5,止损
1916,601633,长城汽车,2022-03-14,27.904,2022-03-16,26.337,-5.7105%,-5.6161%,2,止损
