序号,代码,名称,买入日,买入价,卖出日,卖出价,净收益率,毛收益率,持有交易日,卖出原因
2168,600198,大唐电信,2024-03-27,6.653,2024-04-03,6.307,-5.3024%,-5.2076%,5,信号
2169,600198,大唐电信,2025-05-22,9.125,2025-05-26,8.576,-6.1090%,-6.0151%,2,信号
2170,600198,大唐电信,2026-05-13,9.765,2026-05-21,9.145,-6.4373%,-6.3437%,6,信号
2171,600200,退市苏吴,2022-07-06,7.824,2022-07-13,7.306,-6.7085%,-6.6152%,5,信号
2172,600200,退市苏吴,2023-10-31,8.954,2023-11-10,9.305,3.8145%,3.9184%,8,信号
2173,600202,哈空调,2021-12-22,5.603,2021-12-27,4.708,-16.0609%,-15.9769%,3,信号
2174,600206,有研新材,2022-01-04,15.864,2022-01-06,14.619,-7.9416%,-7.8495%,2,信号
2175,600207,安彩高科,2024-01-18,4.992,2024-01-29,5.087,1.8002%,1.9021%,7,信号
2176,600207,安彩高科,2026-02-12,5.283,2026-03-16,5.587,5.6597%,5.7654%,16,信号
2177,600208,衢州发展,2026-04-21,3.712,2026-05-20,3.558,-4.2349%,-4.1390%,18,信号
2178,600210,紫江企业,2025-09-01,6.663,2025-09-15,7.196,7.8921%,8.0001%,10,信号
2179,600211,西藏药业,2023-02-02,28.938,2023-02-15,30.14,4.0477%,4.1518%,9,信号
2180,600211,西藏药业,2025-03-19,36.344,2025-03-27,35.368,-2.7823%,-2.6850%,6,信号
2181,600215,派斯林,2023-06-20,7.649,2023-07-04,8.171,6.7190%,6.8258%,8,信号
