序号,代码,名称,买入日,买入价,卖出日,卖出价,净收益率,毛收益率,持有交易日,卖出原因
16941,300366,ST创意,2023-01-04,11.706,2023-01-12,11.014,-6.0002%,-5.9061%,6,止损
16942,300366,ST创意,2024-10-09,11.506,2024-10-11,10.345,-10.1798%,-10.0900%,2,止损
16943,300366,ST创意,2024-10-31,13.337,2024-11-04,10.635,-20.3395%,-20.2598%,2,止损
16944,300366,ST创意,2025-05-06,7.384,2025-05-14,7.536,1.9639%,2.0659%,6,到期
16945,300368,汇金股份,2023-07-17,7.894,2023-07-19,7.166,-9.3071%,-9.2163%,2,止损
16946,300368,汇金股份,2024-10-08,4.312,2024-10-11,3.908,-9.4620%,-9.3714%,3,止损
16947,300368,汇金股份,2025-05-30,7.824,2025-06-04,7.096,-9.3886%,-9.2979%,2,止损
16948,300368,汇金股份,2025-06-05,8.834,2025-06-09,11.094,25.4566%,25.5822%,2,止盈
16949,300368,汇金股份,2025-06-26,13.457,2025-06-30,11.594,-13.9270%,-13.8408%,2,止损
16950,300368,汇金股份,2025-09-30,18.789,2025-10-16,17.991,-4.3449%,-4.2492%,6,到期
16951,300368,汇金股份,2026-05-07,12.276,2026-05-15,11.914,-3.0466%,-2.9496%,6,到期
16952,300368,汇金股份,2026-07-21,9.215,2026-07-27,8.356,-9.4105%,-9.3198%,4,止损
16953,300369,绿盟科技,2023-06-01,13.499,2023-06-09,14.225,5.2739%,5.3793%,6,到期
16954,300369,绿盟科技,2024-10-08,9.595,2024-10-11,8.246,-14.1448%,-14.0589%,3,止损
16955,300369,绿盟科技,2026-07-09,6.483,2026-07-16,7.116,9.6570%,9.7667%,5,止盈
16956,300370,安控科技,2023-09-28,3.252,2023-10-10,2.969,-8.7980%,-8.7067%,2,止损
16957,300370,安控科技,2024-10-09,2.781,2024-10-11,2.539,-8.8157%,-8.7244%,2,止损
16958,300370,安控科技,2024-10-17,3.392,2024-10-21,2.949,-13.1532%,-13.0663%,2,止损
16959,300370,安控科技,2024-12-04,4.272,2024-12-06,3.958,-7.4453%,-7.3526%,2,止损
16960,300371,汇中股份,2024-08-19,9.467,2024-08-22,8.328,-12.1185%,-12.0305%,3,止损
16961,300371,汇中股份,2025-07-10,14.408,2025-07-14,13.084,-9.2782%,-9.1874%,2,止损
16962,300373,扬杰科技,2021-11-23,69.152,2021-12-01,72.281,4.4208%,4.5253%,6,到期
16963,300373,扬杰科技,2024-10-09,49.737,2024-10-11,44.32,-10.9805%,-10.8914%,2,止损
16964,300374,中铁装配,2022-09-13,13.037,2022-09-15,12.134,-7.0166%,-6.9235%,2,止损
16965,300374,中铁装配,2022-11-23,13.407,2022-11-25,14.773,10.0781%,10.1883%,2,止盈
16966,300374,中铁装配,2024-01-25,12.936,2024-01-29,16.992,31.2145%,31.3458%,2,止盈
