代码,名称,买入日,买入价,卖出日,卖出价,股数,盈亏,净收益率,持有交易日,卖出原因
003019,宸展光电,2021-11-08,21.438,2021-11-17,19.254,23300,-51346.01,-10.2744%,7,信号
600731,湖南海利,2021-11-08,7.564,2021-11-25,8.636,66100,70317.2,14.0574%,13,信号
000021,深科技,2021-11-09,14.987,2021-11-17,14.563,33300,-14637.02,-2.9313%,6,信号
600104,上汽集团,2021-11-09,21.291,2021-11-16,19.27,23400,-47749.12,-9.5795%,5,信号
002231,ST奥维,2021-11-11,5.483,2021-11-24,5.707,91100,19933.6,3.9889%,9,信号
002993,奥海科技,2021-11-11,36.145,2021-11-22,35.839,13800,-4719.38,-0.9457%,7,信号
605259,绿田机械,2021-11-11,14.403,2021-11-26,16.291,34700,64969.0,12.9927%,11,信号
000727,冠捷科技,2021-11-12,2.891,2021-11-24,2.809,172900,-14817.53,-2.9624%,8,信号
002686,亿利达,2021-11-16,6.813,2021-11-24,6.487,73300,-24430.9,-4.8894%,6,信号
600237,铜峰电子,2021-11-16,7.064,2021-12-10,7.726,70700,46323.36,9.2713%,18,信号
603031,安孚科技,2021-11-17,17.866,2021-11-23,16.997,27900,-24715.58,-4.9559%,4,信号
603377,ST东时,2021-11-17,8.884,2021-11-23,8.356,56200,-30192.9,-6.0440%,4,信号
603458,勘设股份,2021-11-17,13.259,2021-11-30,12.096,37700,-44310.86,-8.8604%,9,信号
002433,太安退,2021-11-18,6.573,2021-12-03,6.427,76000,-11628.0,-2.3264%,11,信号
002643,万润股份,2021-11-18,21.586,2021-12-03,23.543,23100,44695.51,8.9592%,11,信号
600996,贵广网络,2021-11-18,4.782,2021-11-24,4.648,10000,-1394.3,-2.9140%,4,信号
605199,ST葫芦娃,2021-11-18,24.227,2021-11-30,23.853,20600,-8200.45,-1.6423%,8,信号
603916,苏博特,2021-11-22,20.45,2021-12-01,19.71,24100,-18319.86,-3.7153%,7,信号
000861,海印股份,2021-11-23,2.461,2021-12-20,3.208,203100,151173.46,30.2271%,19,信号
002584,西陇科学,2021-11-23,6.66,2021-12-08,7.443,66700,51752.28,11.6437%,11,信号
002634,ST棒杰,2021-11-24,5.323,2021-12-13,6.057,93900,68417.44,13.6822%,13,信号
300708,聚灿光电,2021-11-24,14.512,2021-12-03,13.868,34400,-22648.28,-4.5345%,7,信号
600818,ST中路,2021-11-24,8.928,2021-12-03,8.91,35100,-977.11,-0.3116%,7,信号
600843,上工申贝,2021-11-24,6.875,2021-12-03,6.359,72700,-38039.12,-7.6064%,7,信号
600889,ST京化,2021-11-24,6.913,2021-12-03,6.287,72300,-45780.37,-9.1544%,7,信号
603110,东方材料,2021-11-24,37.639,2021-12-03,37.681,13200,61.78,0.0124%,7,信号
002637,赞宇科技,2021-11-25,16.854,2021-12-08,16.728,29600,-4250.03,-0.8515%,9,信号
002269,美邦服饰,2021-11-26,2.701,2021-12-06,2.499,185000,-37962.01,-7.5924%,6,信号
605055,迎丰股份,2021-11-26,8.235,2021-12-03,7.917,60700,-19797.43,-3.9585%,5,信号
002512,ST达华,2021-11-30,3.372,2021-12-06,3.218,148200,-23206.64,-4.6419%,4,信号
002657,中科金财,2021-11-30,11.246,2021-12-24,12.404,44400,50897.95,10.1887%,18,信号
300678,中科信息,2021-12-01,14.994,2021-12-08,13.78,33300,-40918.18,-8.1907%,5,信号
000068,华控赛格,2021-12-03,3.352,2021-12-10,3.228,129200,-16354.14,-3.7747%,5,信号
000756,新华制药,2021-12-03,7.789,2021-12-14,8.401,64100,38704.23,7.7483%,7,信号
000852,石化机械,2021-12-03,6.983,2021-12-15,6.717,71500,-19569.55,-3.9173%,8,信号
002600,领益智造,2021-12-03,7.839,2021-12-14,7.221,63700,-39816.33,-7.9698%,7,信号
002679,福建金森,2021-12-03,14.198,2021-12-10,13.964,35200,-8735.3,-1.7470%,5,信号
300022,吉峰科技,2021-12-03,5.413,2021-12-13,4.898,92300,-48024.62,-9.6080%,6,信号
300132,诺斯贝尔,2021-12-03,11.766,2021-12-14,11.264,42400,-21752.48,-4.3581%,7,信号
