序号,代码,名称,买入日,买入价,卖出日,卖出价,净收益率,毛收益率,持有交易日,卖出原因
1960,600366,宁波韵升,2023-07-07,8.795,2023-07-13,8.547,-2.9244%,-2.8273%,4,信号
1961,600369,西南证券,2021-08-25,4.896,2021-08-30,4.722,-3.6665%,-3.5701%,3,信号
1962,600369,西南证券,2023-08-07,4.486,2023-08-14,4.242,-5.5415%,-5.4470%,5,信号
1963,600370,ST三房,2021-09-15,3.302,2021-09-23,3.248,-1.7119%,-1.6136%,4,信号
1964,600370,ST三房,2024-09-23,1.381,2024-10-14,1.549,12.0944%,12.2066%,10,信号
1965,600370,ST三房,2025-04-03,2.041,2025-04-08,1.629,-20.2577%,-20.1779%,2,信号
1966,600371,万向德农,2026-02-03,9.585,2026-02-06,9.145,-4.6794%,-4.5840%,3,信号
1967,600373,中文传媒,2023-03-09,8.655,2023-04-11,10.526,21.4883%,21.6099%,22,信号
1968,600375,汉马科技,2023-02-16,8.246,2023-02-20,8.068,-2.2583%,-2.1605%,2,信号
1969,600375,汉马科技,2023-12-13,6.393,2023-12-20,6.228,-2.6831%,-2.5857%,5,信号
1970,600376,首开股份,2025-02-26,2.861,2025-03-03,2.659,-7.1789%,-7.0860%,3,信号
1971,600379,宝光股份,2025-05-26,10.426,2025-05-30,10.446,0.0875%,0.1876%,4,信号
1972,600381,ST春天,2021-12-10,7.394,2021-12-28,8.076,9.1185%,9.2277%,12,信号
1973,600381,ST春天,2023-08-07,9.225,2023-08-10,9.045,-2.0400%,-1.9419%,3,信号
1974,600386,北巴传媒,2023-12-15,4.952,2023-12-19,4.988,0.6066%,0.7073%,2,信号
1975,600389,江山股份,2025-03-18,14.537,2025-03-28,14.823,1.8607%,1.9627%,8,信号
1976,600391,航发科技,2021-12-21,25.002,2022-01-06,25.587,2.2363%,2.3386%,11,信号
1977,600391,航发科技,2025-04-16,24.512,2025-04-28,23.688,-3.4586%,-3.3620%,8,信号
1978,600391,航发科技,2025-08-04,30.645,2025-08-12,31.814,3.7101%,3.8139%,6,信号
1979,600391,航发科技,2025-12-30,34.907,2026-01-16,39.54,13.1584%,13.2716%,11,信号
1980,600395,盘江股份,2023-02-27,6.723,2023-03-07,6.807,1.1368%,1.2380%,6,信号
1981,600396,华电辽能,2022-06-24,3.282,2022-06-30,3.168,-3.5468%,-3.4503%,4,信号
1982,600398,海澜之家,2025-01-09,7.074,2025-01-14,6.757,-4.5758%,-4.4803%,3,信号
1983,600399,抚顺特钢,2023-07-07,10.771,2023-07-14,10.431,-3.2589%,-3.1621%,5,信号
1984,600399,抚顺特钢,2025-03-18,6.235,2025-03-25,6.109,-2.1215%,-2.0236%,5,信号
1985,600399,抚顺特钢,2025-07-16,5.533,2025-07-29,5.687,2.6877%,2.7905%,9,信号
1986,600400,红豆股份,2024-01-22,2.861,2024-01-24,2.589,-9.6215%,-9.5311%,2,信号
1987,600400,红豆股份,2024-03-28,2.521,2024-04-16,2.679,6.1367%,6.2429%,11,信号
1988,600400,红豆股份,2025-03-06,2.541,2025-03-13,2.539,-0.1998%,-0.1000%,5,信号
1989,600400,红豆股份,2026-05-14,2.801,2026-05-28,2.889,3.0080%,3.1111%,10,信号
1990,600403,大有能源,2024-10-11,3.082,2024-10-16,2.969,-3.7641%,-3.6678%,3,信号
1991,600408,安泰集团,2025-03-24,2.011,2025-03-28,1.929,-4.1720%,-4.0761%,4,信号
1992,600410,华胜天成,2022-01-24,7.686,2022-01-26,7.378,-4.0973%,-4.0013%,2,信号
1993,600410,华胜天成,2023-10-27,7.59,2023-11-03,7.502,-1.2523%,-1.1535%,5,信号
1994,600415,小商品城,2022-12-13,4.447,2022-12-16,4.073,-8.5072%,-8.4156%,3,信号
1995,600419,天润乳业,2022-09-06,13.139,2022-09-08,12.916,-1.7958%,-1.6975%,2,信号
