买入日,代码,名称,开盘净收益,开盘毛收益,收盘净收益,最高毛收益,信号日成交额
2022-05-27,600740,山西焦化,-0.2000%,0.0000%,-2.3050%,1.5803%,922878990
2022-05-30,000547,航天发展,-2.4943%,-2.2966%,0.5942%,5.9182%,1576518337
2022-05-31,600197,伊力特,-1.4223%,-1.2236%,-1.2001%,0.1854%,1208910709
2022-06-01,002163,海南发展,-1.3664%,-1.1676%,-4.6598%,-0.0687%,927362567
2022-06-02,300088,长信科技,-0.0529%,0.1472%,1.8592%,2.5029%,1006230847
2022-06-06,300261,雅本化学,0.5878%,0.7885%,13.1917%,17.3477%,962924273
2022-06-07,600199,金种子酒,-1.0747%,-0.8757%,-2.4394%,0.1401%,1340870216
2022-06-08,000968,蓝焰控股,-2.9534%,-2.7562%,1.9512%,4.9096%,1118570600
2022-06-09,603612,索通发展,-0.7543%,-0.5549%,10.2925%,10.5030%,777752458
2022-06-10,000552,甘肃能化,-2.1452%,-1.9472%,-0.8484%,0.6491%,866039441
2022-06-13,600110,诺德股份,-2.0983%,-1.9003%,-1.2847%,-0.9954%,1385408897
2022-06-14,002061,浙江交科,-2.0218%,-1.8236%,-3.2435%,2.3171%,994082027
2022-06-15,300339,润和软件,0.5167%,0.7174%,-2.5154%,1.8211%,1203472927
2022-06-16,000860,顺鑫农业,-1.3609%,-1.1621%,5.8898%,9.3986%,1060607014
2022-06-17,301089,拓新药业,0.4130%,0.6135%,2.8979%,4.4109%,680480858
2022-06-20,300772,运达股份,0.2234%,0.4238%,3.6452%,5.8882%,1248190389
2022-06-21,603985,恒润股份,-1.9435%,-1.7453%,5.0306%,10.0260%,1110397081
2022-06-22,603399,永杉锂业,-0.9684%,-0.7692%,1.4522%,3.4231%,802495566
2022-06-23,000400,许继电气,-0.4114%,-0.2117%,1.3861%,3.7574%,1059050209
2022-06-24,300393,中来股份,0.8096%,1.0106%,6.3920%,8.5008%,1398421540
2022-06-27,002011,盾安环境,-0.2000%,0.0000%,6.3886%,10.0460%,1115034118
2022-06-28,002291,遥望科技,0.6454%,0.8462%,-0.9956%,5.0274%,1650696588
2022-06-29,002373,千方科技,-0.2000%,0.0000%,4.7484%,8.5731%,880877248
2022-06-30,002183,怡亚通,-0.2000%,0.0000%,-2.9873%,0.9766%,1330474923
2022-07-01,300343,联创股份,-0.5167%,-0.3171%,4.1711%,5.3266%,1603814136
2022-07-04,300712,永福股份,0.6045%,0.8053%,-2.4251%,1.4221%,611576793
2022-07-05,002100,天康生物,-1.2024%,-1.0035%,-3.9364%,0.2737%,1382663828
2022-07-06,002610,ST爱康,-2.3929%,-2.1951%,1.2620%,2.4390%,1742530634
2022-07-07,002121,科陆电子,0.0803%,0.2805%,-6.6451%,1.6830%,766708015
2022-07-08,300458,全志科技,-2.0698%,-1.8717%,-7.4908%,-1.7638%,912328128
2022-07-11,600478,科力远,0.5832%,0.7839%,-5.8778%,0.7839%,1627986229
2022-07-12,600699,均胜电子,-1.9691%,-1.7709%,10.3442%,10.5547%,1445248713
2022-07-13,603069,海汽集团,-2.1588%,-1.9608%,-3.8891%,-0.6863%,864558090
2022-07-14,300393,中来股份,-1.1009%,-0.9019%,-0.2600%,2.2848%,1221332782
2022-07-15,300343,联创股份,2.5469%,2.7496%,0.8152%,4.5427%,1531888338
2022-07-18,002455,百川股份,-1.2827%,-1.0838%,3.0482%,5.2746%,884516261
2022-07-19,601975,招商南油,-0.2000%,0.0000%,3.4247%,6.4192%,973647471
2022-07-20,300393,中来股份,-0.7313%,-0.5319%,-1.9120%,1.7728%,1291710373
